repo,url,stars,forks,open_issues,open_prs,closed_prs,merged_prs,total_closed_prs
Eslam-Abdo/CAN_Protocol,https://github.com/Eslam-Abdo/CAN_Protocol,5,1,0,0,0,0,0
FalconLee1011/L9110s-Library-for-Arduino,https://github.com/FalconLee1011/L9110s-Library-for-Arduino,9,3,0,0,0,2,2
Firefly-rk-linux/kernel,https://github.com/Firefly-rk-linux/kernel,6,3,0,0,0,0,0
Firefly-rk-linux/manifests,https://github.com/Firefly-rk-linux/manifests,1,1,1,0,0,0,0
FreeRTOS/FreeRTOS,https://github.com/FreeRTOS/FreeRTOS,6985,1946,10,17,260,996,1256
FreeRTOS/FreeRTOS-Kernel,https://github.com/FreeRTOS/FreeRTOS-Kernel,3869,1450,29,10,195,872,1067
FreeRTOS/FreeRTOS-Kernel-Community-Supported-Ports,https://github.com/FreeRTOS/FreeRTOS-Kernel-Community-Supported-Ports,33,32,0,0,1,25,26
FreeRTOS/FreeRTOS-Kernel-Partner-Supported-Ports,https://github.com/FreeRTOS/FreeRTOS-Kernel-Partner-Supported-Ports,16,25,0,1,3,19,22
FreeRTOS/FreeRTOS-Plus-TCP,https://github.com/FreeRTOS/FreeRTOS-Plus-TCP,198,207,22,7,250,922,1172
FreeRTOS/FreeRTOS-SMP-Demos,https://github.com/FreeRTOS/FreeRTOS-SMP-Demos,67,47,0,0,0,12,12
FreeRTOS/iot-reference-esp32,https://github.com/FreeRTOS/iot-reference-esp32,98,58,3,0,13,49,62
FreeRTOS/iot-reference-nxp-rt1060,https://github.com/FreeRTOS/iot-reference-nxp-rt1060,23,23,1,3,7,42,49
FreshTomato-Project/freshtomato-arm,https://github.com/FreshTomato-Project/freshtomato-arm,142,31,68,2,35,49,84
GENIVI/CANdevStudio,https://github.com/GENIVI/CANdevStudio,1103,278,35,1,27,166,193
Glass-Imaging/sample-apps-for-Qualcomm-Robotics-RB5-platform,https://github.com/Glass-Imaging/sample-apps-for-Qualcomm-Robotics-RB5-platform,2,0,0,0,0,0,0
Heltec-Aaron-Lee/WiFi_Kit_series,https://github.com/Heltec-Aaron-Lee/WiFi_Kit_series,887,334,170,2,7,52,59
InES-HPMM/FPD-LinkIII_ds90ub95x,https://github.com/InES-HPMM/FPD-LinkIII_ds90ub95x,54,23,0,1,2,3,5
Infineon/AURIX_code_examples,https://github.com/Infineon/AURIX_code_examples,621,386,0,0,0,0,0
Infineon/bless,https://github.com/Infineon/bless,8,3,0,0,1,0,1
Infineon/emusb-device,https://github.com/Infineon/emusb-device,4,0,0,0,0,0,0
Infineon/ethernet-connection-manager,https://github.com/Infineon/ethernet-connection-manager,3,1,0,0,0,0,0
Infineon/ethernet-phy-driver,https://github.com/Infineon/ethernet-phy-driver,1,0,0,0,0,0,0
Infineon/illd_release_tc2x,https://github.com/Infineon/illd_release_tc2x,3,2,0,1,0,0,0
Infineon/illd_release_tc3x,https://github.com/Infineon/illd_release_tc3x,15,1,2,0,0,0,0
Infineon/illd_release_tc4x,https://github.com/Infineon/illd_release_tc4x,4,0,0,0,0,0,0
Infineon/psoc6hal,https://github.com/Infineon/psoc6hal,7,6,0,0,0,0,0
Insper/SAME70-examples,https://github.com/Insper/SAME70-examples,11,36,25,2,2,9,11
Intel-Media-SDK/MediaSDK,https://github.com/Intel-Media-SDK/MediaSDK,963,462,130,40,419,1947,2366
intel/FSP,https://github.com/IntelFsp/FSP,333,138,43,0,6,3,9
JeffyCN/meta-rockchip,https://github.com/JeffyCN/meta-rockchip,204,132,6,3,8,4,12
JetsonHacksNano/CSI-Camera,https://github.com/JetsonHacksNano/CSI-Camera,905,300,26,1,2,2,4
Joshua-Riek/u-boot-rockchip,https://github.com/Joshua-Riek/u-boot-rockchip,8,5,0,0,0,0,0
Junaidk11/Adesto_External_Flash,https://github.com/Junaidk11/Adesto_External_Flash,0,0,0,0,0,0,0
JustEnoughLinuxOS/rk3566-x55-kernel,https://github.com/JustEnoughLinuxOS/rk3566-x55-kernel,5,11,0,0,0,0,0
JustEnoughLinuxOS/rk3566-x55-uboot,https://github.com/JustEnoughLinuxOS/rk3566-x55-uboot,2,5,0,0,0,0,0
JustEnoughLinuxOS/rk356x-uboot,https://github.com/JustEnoughLinuxOS/rk356x-uboot,4,14,0,0,0,1,1
libdriver/sx1262,https://github.com/LibDriver/SX1262,102,8,3,0,0,7,7
libdriver/bmp390,https://github.com/LibDriver/bmp390,31,10,1,0,2,26,28
libdriver/mpu9250,https://github.com/LibDriver/mpu9250,309,125,2,0,0,23,23
libdriver/ms5611,https://github.com/LibDriver/ms5611,46,16,0,0,0,8,8
LibreELEC/LibreELEC.tv,https://github.com/LibreELEC/LibreELEC.tv,2682,1181,28,31,802,9513,10315
LibreELEC/amlogic-boot-fip,https://github.com/LibreELEC/amlogic-boot-fip,58,62,0,3,3,25,28
LibreELEC/linux-amlogic,https://github.com/LibreELEC/linux-amlogic,53,70,0,0,30,91,121
LineageOS/android_device_amlogic_gx-common,https://github.com/LineageOS/android_device_amlogic_gx-common,2,3,0,0,0,0,0
LooUQ/LooUQ_LTEmC,https://github.com/LooUQ/LooUQ_LTEmC,4,0,0,0,0,5,5
Lora-net/LoRaMac-node,https://github.com/Lora-net/LoRaMac-node,1976,1101,48,12,105,102,207
Lora-net/sx126x_driver,https://github.com/Lora-net/sx126x_driver,165,48,1,0,1,0,1
MaJerle/lwcell,https://github.com/MaJerle/lwcell,469,168,21,1,4,11,15
MaJerle/stm32-cube-cmake-vscode,https://github.com/MaJerle/stm32-cube-cmake-vscode,693,66,2,0,2,6,8
MaJerle/stm32f429,https://github.com/MaJerle/stm32f429,2444,1366,7,0,4,6,10
MarkAYoder/c6run_build,https://github.com/MarkAYoder/c6run_build,3,2,0,0,0,0,0
MarvellEmbeddedProcessors/dao,https://github.com/MarvellEmbeddedProcessors/dao,12,4,0,1,0,0,0
MarvellEmbeddedProcessors/linux-marvell,https://github.com/MarvellEmbeddedProcessors/linux-marvell,98,70,12,4,4,1,5
MarvellEmbeddedProcessors/marvell-dpdk,https://github.com/MarvellEmbeddedProcessors/marvell-dpdk,0,3,0,0,6,8,14
MarvellEmbeddedProcessors/marvell-dpdk-sdk,https://github.com/MarvellEmbeddedProcessors/marvell-dpdk-sdk,8,0,0,0,0,0,0
MarvellEmbeddedProcessors/marvell-octeon-roc,https://github.com/MarvellEmbeddedProcessors/marvell-octeon-roc,7,2,0,0,4,15,19
MarvellEmbeddedProcessors/pcie_ep_octeon_host,https://github.com/MarvellEmbeddedProcessors/pcie_ep_octeon_host,6,5,2,0,1,1,2
MarvellEmbeddedProcessors/pcie_ep_octeon_target,https://github.com/MarvellEmbeddedProcessors/pcie_ep_octeon_target,1,3,0,0,1,3,4
